Index,Name,Use,Name_English,Province,Province_English,Region_ID,Area,fetch,depth_w,depth_bs,T_bs,h_u,h_tq,depth_w_calibrated,Hylak_id,Lat
L44,隔河岩水库,1,Reservoir Geshuiyan,湖北省,Hubei,0,12,977.4528185,83.1,10,273.15,10,2,46.47287724,15298,30.44135929
L45,鹤地水库,1,Reservoir Hedi,广东省,Guangdong,0,108.4,2937.783731,28.2,10,273.15,10,2,12.25602738,15599,21.88948928
L46,黑河湿地,0,Lake Heihe,甘肃省,Gansu,3,410,5713.4326,5,10,273.15,10,2,8.5103845,-999,38.97384138
L47,衡水湖,1,Lake Hengshui,河北省,Hebei,0,75,2443.632047,1,10,273.15,10,2,1.5674866,14738,37.60995391
L48,红枫湖,1,Lake Hongfeng,贵州省,Guizhou,1,57.2,2134.043141,13.9,10,273.15,10,2,6.52481151,15454,26.54638162
L49,红碱淖,0,Lake Hongjian,陕西省,Shaanxi,3,32.8,1616.002775,3.3,10,273.15,10,2,4.28727717,14629,39.0933133
L50,红崖山水库,0,Reservoir Hongyashan,甘肃省,Gansu,3,30,1545.488606,2.4,10,273.15,10,2,2.53384416,14687,38.39365876
L51,洪湖,1,Lake Honghu,湖北省,Hubei,0,337.09,5180.57678,2.2,10,273.15,10,2,2.1622249,1379089,29.85689021
L52,洪泽湖,1,Lake Hongze,江苏省,Jiangsu,0,2069,12834.69125,9.8,10,273.15,10,2,3.07816481,15049,33.31409317
L53,湖南镇水库,0,Reservoir Hunanzhen,浙江省,Zhejiang,0,40,1784.576526,46.8,10,273.15,10,2,12.25491322,1381219,28.61350202
L54,花亭湖,1,Lake Huating,安徽省,Anhui,0,100,2821.66324,50.4,10,273.15,10,2,12.66302268,15297,30.51236525
L55,怀柔水库,1,Reservoir Huairou,北京市,Beijing,0,6.67,728.7324305,18.1,10,273.15,10,2,4.660730995,172781,40.31871579
L56,澴东湖,0,Lake Huandong,湖北省,Hubei,0,53.7,2067.722832,2.7,10,273.15,10,2,2.67764805,175815,30.846386
L57,黄壁庄水库,0,Reservoir Huangbizhuang,河北省,Hebei,0,57,2130.30903,33.3,10,273.15,10,2,9.19510236,14703,38.26742127
L58,黄大湖,0,Lake Huangda,安徽省,Anhui,0,299.2,4880.743391,6,10,273.15,10,2,1.98347478,1378828,30.01454456
L59,黄龙滩水库,1,Reservoir Huanglongtan,湖北省,Hubei,0,0.32,159.6173769,91.5,10,273.15,10,2,33.6417501,15089,32.46423456
L60,焦岗湖,1,Lake Jiaogang,安徽省,Anhui,0,37.5,1727.908791,1.1,10,273.15,10,2,1.4916616,15094,32.59635935
L61,解放村水库,0,Reservoir Jiefangcun,甘肃省,Gansu,3,6.24,704.8512515,2.3,10,273.15,10,2,2.87371384,172874,39.92995379
L62,镜泊湖,1,Lake Jingpo,黑龙江省,Heilongjiang,2,95,2750.217131,48.4,10,273.15,10,2,12.46294918,14313,43.89887796
L63,昆明湖,0,Lake Kunming,北京市,Beijing,0,2,399.0434423,2.1,10,273.15,10,2,2.7670335,172861,39.99009498
L64,崂山水库,1,Reservoir Laoshan,山东省,Shandong,0,5,630.9430815,6.2,10,273.15,10,2,7.06708426,174174,36.25610478
L65,里石门水库,1,Reservoir Lishimen,浙江省,Zhejiang,0,296,4854.572997,21.8,10,273.15,10,2,7.888279206,176450,29.05989764
L66,莲花水库,1,Reservoir Lianhua,黑龙江省,Heilongjiang,2,133,3254.100794,5,10,273.15,10,2,9.42762,-999,45.24511611
L67,梁子湖,1,Lake Liangzi,湖北省,Hubei,0,349.03,5271.5285,7.4,10,273.15,10,2,3.173774678,1378540,30.23136768
L68,龙感湖,1,Lake Longgan,安徽省,Anhui,0,223.22,4215.719748,5.5,10,273.15,10,2,1.6390121,176199,29.95196728
L69,龙岩滩水库,1,Reservoir Longyantan,广西壮族自治区,Guangxi,1,377,5478.679,5,10,273.15,10,2,9.8468715,-999,25.05642318
L70,龙羊峡水库,0,Reservoir Longyangxia,青海省,Qinghai,3,329.9,5125.02913,97.1,10,273.15,10,2,26.81214532,1358,36.02980897
L71,陇南天池,0,Lake Longnan,甘肃省,Gansu,3,0.8,252.3772326,11.3,10,273.15,10,2,17.64856148,1373678,33.25169478
L72,泸沽湖,0,Lake Lugu,云南省,Yunnan,1,51.8,2030.813586,51.3,10,273.15,10,2,13.71820482,15431,27.70732517
L73,鲁班水库,1,Reservoir Luban,四川省,Sichuan,1,13,1017.36515,15.2,10,273.15,10,2,19.82909008,15259,30.9095544
L74,陆浑水库,0,Reservoir Luhun,河南省,Henan,0,40.3,1791.256187,23,10,273.15,10,2,9.9960507,14995,34.17411898
L75,骆马湖,1,Lake Luoma,江苏省,Jiangsu,0,260,4549.795264,3.9,10,273.15,10,2,5.57977368,1373174,34.10858233
L76,梅山水库,0,Reservoir Meishan,安徽省,Anhui,0,1970,12523.86258,91.2,10,273.15,10,2,23.05185792,15172,31.58611147
L77,密云水库,1,Reservoir Miyun,北京市,Beijing,0,136.8,3300.260557,36,10,273.15,10,2,9.40072536,1317,40.53373248
L78,磨盘山水库,1,Reservoir Mopanshan,黑龙江省,Heilongjiang,2,28,1493.083844,5,10,273.15,10,2,6.202131,-999,44.39990516
L79,纳木错,0,Lake Namu,西藏自治区,Xizang,4,1920,12363.90885,44.4,10,273.15,10,2,13.65649206,1377394,30.73873213
L80,南水水库,0,Reservoir Nanshui,广东省,Guangdong,0,38,1739.390039,26.2,10,273.15,10,2,8.23470847,15501,24.79349332
L81,南四湖,1,Lake Nansi,山东省,Shandong,0,1266,10039.73,3,10,273.15,10,2,2.4381306,1372064,34.8521138
L82,南湾水库,1,Reservoir Nanwan,河南省,Henan,0,70,2360.772841,41.4,10,273.15,10,2,11.1572971,-999,32.14569897
L83,南漪湖,1,Lake Nanyi,安徽省,Anhui,0,148.4,3437.337142,4.7,10,273.15,10,2,1.512664215,175665,31.1063487
L84,尼尔基水库,1,Reservoir Nilki,黑龙江省,Heilongjiang,2,498.32,6298.82205,1.4,10,273.15,10,2,2.79378512,1344667,48.63090101
L85,鲇鱼山水库,1,Reservoir Nianyushan,河南省,Henan,0,924,8577.113675,48,10,273.15,10,2,14.71448976,15164,31.74920045
L86,鄱阳湖,0,Lake Poyang,江西省,Jiangxi,0,2933,15281.33202,6.8,10,273.15,10,2,3.60059048,176474,29.05794086
L87,杞麓湖,1,Lake Qilu,云南省,Yunnan,1,36.73,1710.076916,3,10,273.15,10,2,3.3045942,15519,24.16630715
L88,千岛湖,1,Lake Qiandao,浙江省,Zhejiang,0,567.4,6721.24685,50.9,10,273.15,10,2,13.32852741,1467,29.67036674
L89,千鹤湖,0,Lake Qianhe,河南省,Henan,0,0.27,146.6179228,5,10,273.15,10,2,9.136676,-999,35.83542934
L90,青格达水库（猛进水库）,0,Reservoir Qinggeda,新疆维吾尔自治区,Xinjiang,3,17,1163.401558,1,10,273.15,10,2,1.8424122,14308,44.11814712
L91,邛海,1,Lake Qiong,四川省,Sichuan,1,31,1571.035603,12.9,10,273.15,10,2,25.27198365,15428,27.82490431
L92,赛里木湖,0,Lake Sailimu,新疆维吾尔自治区,Xinjiang,3,458,6038.623035,24.1,10,273.15,10,2,9.933807438,1295,44.6036845
L93,三门峡水库,1,Reservoir Shanmenxia,河南省,Henan,0,200,3990.434423,37.8,10,273.15,10,2,10.43768376,174656,34.69781877
L94,色林错,0,Lake Selin,西藏自治区,Xizang,4,2391,13797.32735,28,10,273.15,10,2,9.2132796,175507,31.79995295
L95,沙湖,1,Lake Sha,宁夏回族自治区,Ningxia,3,45,1892.829244,5,10,273.15,10,2,2.899375,-999,38.80825805
L96,山口湖,0,Lake Shankou,黑龙江省,Heilongjiang,2,84.6,2595.316703,9.2,10,273.15,10,2,5.220803672,168226,48.53480027
L97,山美水库,1,Reservoir Shanmei,福建省,Fujian,0,15.2,1100.086853,51.4,10,273.15,10,2,16.0742192,15487,25.19631416
L98,升金湖,0,Lake Shengjin,安徽省,Anhui,0,132.8,3251.653181,6.1,10,273.15,10,2,1.869966407,15302,30.37464743
L99,石门水库（褒河）,0,Reservoir Shimen,陕西省,Shaanxi,3,5,630.9430815,25.9,10,273.15,10,2,6.588752023,175008,33.29137905
L100,双塔水库,0,Reservoir Shuangta,甘肃省,Gansu,3,13.33,1030.196939,2.5,10,273.15,10,2,3.08948725,14525,40.55684139
L101,水丰湖,0,Lake Shuifeng,辽宁省,Liaoning,2,357,5331.3757,51.7,10,273.15,10,2,17.71562747,1318,40.51017332
L102,水府庙水库,0,Reservoir Shuifumiao,湖南省,Hunan,0,44.3,1878.049537,26.6,10,273.15,10,2,7.642583256,1382270,27.71615277
L103,松花湖,1,Lake Songhua,吉林省,Jilin,2,554,6641.406495,47.4,10,273.15,10,2,12.20545023,1297,43.53776667
L104,松涛水库,1,Reservoir Songtao,海南省,Hainan,0,130,3217.191084,57.6,10,273.15,10,2,58.94330688,15645,19.41005965
L105,太湖,1,Lake Taihu,江苏省,Jiangsu,0,2338,13643.55148,2.2,10,273.15,10,2,2.93346592,1376569,31.20234349
L106,太平湖,1,Lake Taiping,安徽省,Anhui,0,75.31,2448.677012,45.9,10,273.15,10,2,12.88056219,1378211,30.37727318
L107,铜山源水库,1,Reservoir Tongshanyuan,浙江省,Zhejiang,0,180,3785.658489,21.2,10,273.15,10,2,5.551370944,176434,29.13293067
L108,瓦埠湖,1,Lake Wabu,安徽省,Anhui,0,156,3524.256257,3.8,10,273.15,10,2,2.9408124,1374769,32.4040438
L109,万峰湖,1,Lake Wanfeng,贵州省,Guizhou,1,816,8060.28243,104.4,10,273.15,10,2,53.75450556,15496,24.95603667
L110,王快水库,0,Reservoir Wangkuai,河北省,Hebei,0,57.2,2134.043141,41.2,10,273.15,10,2,10.75860791,14670,38.76013662
L111,王瑶水库,1,Reservoir Wangyao,陕西省,Shaanxi,3,820,8080.013875,20.9,10,273.15,10,2,5.225972268,174015,36.90829821
L112,卧龙湖,0,Lake Wolong,辽宁省,Liaoning,2,67,2309.630902,1.7,10,273.15,10,2,1.56528945,14394,42.7418793
L113,乌梁素海,1,Lake Wuliangsu,内蒙古自治区,Inner Mongolia,3,293,4829.909469,1,10,273.15,10,2,1.9764107,1314,40.95803107
L114,乌伦古湖,1,Lake Ulungur,新疆维吾尔自治区,Xinjiang,3,827,8114.42845,8,10,273.15,10,2,9.3065192,1351826,47.19965372
L115,武昌湖,1,Lake Wuchang,安徽省,Anhui,0,86.6,2625.815009,5.3,10,273.15,10,2,1.877061144,1378420,30.27710098
L116,西大洋水库,0,Reservoir Xidayang,河北省,Hebei,0,53.8,2069.64719,33.1,10,273.15,10,2,8.36640896,14668,38.76121226
L117,西湖,1,Lake West,浙江省,Zhejiang,0,6.39,713.272712,5.6,10,273.15,10,2,2.13816848,176064,30.24741292
L118,西毛里湖,0,Lake Ximaoli,湖南省,Hunan,0,53.67,2067.145175,3.8,10,273.15,10,2,3.16175352,15365,29.40969196
L119,峡山水库,1,Reservoir Xiashan,山东省,Shandong,0,144,3385.995888,3.9,10,273.15,10,2,3.92692248,14821,36.43200897
